,timestamp,buy_tools,purchased_before,amount_paid,good_value,pairs_bought,how_often_buy,interested,plan_purchase,tools_used,willing_to_pay_more,more_for_us,farm_type,miles_maintained,location_to_buy,percentage_wood,years_farming,current_occupation,zip_code,low_paid,high_paid,low_willingness,high_willingness
16,00:50.3,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Steel post pounder",$30-$39,$5-$9,Commercial farm,6,"Local ranch store, ACE Hardware",0.3,21+ years,"Own a farm, Manage a farm, Equipment operator, Livestock care",30564,$20 ,$29 ,$30 ,$39 
17,03:18.7,I always buy the tools,Yes,$20 - $29,No,6-Apr,Every 2 years,No,No,"Hammer, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$20-$29,$10-$14,Ranch,4,Local ranch store,0.1,21+ years,"Rancher, Retired",74074,$20 ,$29 ,$20 ,$29 
18,07:56.1,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,Yes,Wire snips/cutters,$20-$29,$0-$4,Commercial farm,8,Local ranch store,0.5,21+ years,Own a farm,68434,$20 ,$29 ,$20 ,$29 
19,11:19.5,I always buy the tools,Yes,$10 - $19,Yes,More than 9,Every 3-4 years,Yes,No,"Wire stretcher, Steel post pounder",$0-$9,$10-$14,Ranch,15,Local ranch store,0.1,21+ years,Rancher,75417,$10 ,$19 ,$0 ,$9 
20,11:35.8,I sometimes buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 3-4 years,Yes,Yes,"Hammer, Wire snips/cutters, Wire stretcher, Steel post pounder",$20-$29,$5-$9,Ranch,10,"Local ranch store, ACE Hardware, The Home Depot, Lowe's, Harbor Freight Tools",0.7,21+ years,"Employee of a farm, ranch or orchard, Livestock care, Retired",77802,$20 ,$29 ,$20 ,$29 
21,16:45.4,I always buy the tools,Yes,$30 - $39,Yes,9-Jul,Every year or more often,Yes,Yes,"Hammer, Wire snips/cutters, Pliers",$10-$19,$5-$9,"Commercial farm, Ranch",30,Local ranch store,0.1,21+ years,"Own a farm, Manage a farm, Rancher",73724,$30 ,$39 ,$10 ,$19 
23,18:10.9,I sometimes buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,No,"Hammer, Wire snips/cutters, Pliers",$20-$29,$0-$4,Commercial farm,0.75,Local ranch store,0.1,21+ years,"Own a farm, Livestock care",70777,$20 ,$29 ,$20 ,$29 
24,19:31.4,I always buy the tools,Yes,$50 - $59,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer, Wire stretcher, Pliers",$0-$9,$0-$4,"Commercial farm, Ranch",58,"Local ranch store, Harbor Freight Tools",1,21+ years,"Own a farm, Equipment operator, Rancher",57529,$50 ,$59 ,$0 ,$9 
25,22:58.6,I sometimes buy the tools,Yes,$30 - $39,No,More than 9,Every 2 years,Yes,Yes,"Hammer, Wire snips/cutters, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$40+,$10-$14,Ranch,6,Local ranch store,0.4,21+ years,Rancher,76227,$30 ,$39 ,$40 ,
26,28:01.6,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,Yes,"Hammer, Wire snips/cutters, Wire stretcher, Steel post pounder",$20-$29,$5-$9,"Commercial farm, Ranch",5,"Local ranch store, Amazon",0.2,11-15 years,Own a farm,66861,$20 ,$29 ,$20 ,$29 
27,33:48.4,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Screwdriver, Wire stretcher, Steel post pounder",$10-$19,$10-$14,Ranch,50,Local ranch store,0.4,21+ years,"Own a farm, Livestock care",50240,$20 ,$29 ,$10 ,$19 
28,37:06.9,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,No,"Hammer claw, Wire stretcher, Steel post pounder",$30-$39,$10-$14,Ranch,50,Local ranch store,0.5,21+ years,Rancher,83682,$20 ,$29 ,$30 ,$39 
30,50:51.5,I sometimes buy the tools,Yes,$30 - $39,Yes,9-Jul,Every year or more often,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,Ranch,20,Local ranch store,0.3,21+ years,"Own a farm, Livestock care, Rancher",50115,$30 ,$39 ,$20 ,$29 
31,00:05.6,I always buy the tools,Yes,$50 - $59,Yes,More than 9,Every year or more often,Yes,No,"Hammer, Wire stretcher, Pliers, Steel post pounder",$30-$39,$10-$14,"Commercial farm, Ranch",10,Local ranch store,0.2,21+ years,"Own a farm, Manage a farm, Employee of a farm, ranch or orchard, Livestock care, Rancher",,$50 ,$59 ,$30 ,$39 
32,01:42.9,I always buy the tools,Yes,$40 - $49,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer claw, Screwdriver, Wire stretcher, Steel post pounder",$20-$29,$5-$9,"Commercial farm, Ranch",15,"Local ranch store, Amazon",0,11-15 years,"Own a farm, Manage a farm, Rancher",73432,$40 ,$49 ,$20 ,$29 
33,03:06.9,I always buy the tools,Yes,$10 - $19,No,9-Jul,Every 3-4 years,No,No,Screwdriver,$0-$9,$0-$4,Ranch,25,Local ranch store,0,21+ years,"Own a farm, Manage a farm, Livestock care, Rancher, Retired",72601,$10 ,$19 ,$0 ,$9 
34,04:34.7,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Every year or more often,Yes,No,"Screwdriver, Wire stretcher",$10-$19,$10-$14,Ranch,1.5,ACE Hardware,0.1,21+ years,"Own a farm, Manage a farm, Equipment operator, Livestock care, Rancher",72927,$10 ,$19 ,$10 ,$19 
35,05:48.2,I always buy the tools,Yes,$60 or more,Yes,More than 9,Every year or more often,Yes,Yes,"Plammer, Wire stretcher, Steel post pounder",$40+,$20+,Ranch,25,Local ranch store,0.9,11-15 years,"Own a farm, Rancher",68878,$60 ,,$40 ,
36,06:28.9,I always buy the tools,Yes,$30 - $39,Yes,9-Jul,Every 2 years,Yes,Yes,"Hammer, Wire snips/cutters, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,"Cooperative farm, Ranch",15,"Local ranch store, Amazon, Other online store, The Home Depot, Lowe's, Harbor Freight Tools",0.2,21+ years,Rancher,78155,$30 ,$39 ,$20 ,$29 
37,11:48.3,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Every 5-7 years,Yes,No,"Hammer claw, Wire stretcher",$0-$9,$0-$4,,1.24,"Local ranch store, The Home Depot",0.9,21+ years,"Own a farm, Retired",V2r 4r4,$10 ,$19 ,$0 ,$9 
38,20:03.2,I sometimes buy the tools,Yes,$20 - $29,No,3-Jan,Every 3-4 years,Yes,Yes,"Plammer, Pliers",$20-$29,$5-$9,"Commercial farm, Ranch",4,Local ranch store,0.8,6-10 years,"Employee of a farm, ranch or orchard",68852,$20 ,$29 ,$20 ,$29 
40,26:43.0,I always buy the tools,Yes,$40 - $49,Yes,6-Apr,Every year or more often,Yes,Yes,"Plammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers",$40+,$20+,Ranch,60,Local ranch store,1,21+ years,"Own a farm, Livestock care, Rancher",68850,$40 ,$49 ,$40 ,
41,35:01.9,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Pliers",$0-$9,$5-$9,Ranch,,Local ranch store,0.2,21+ years,Own a farm,,$20 ,$29 ,$0 ,$9 
42,36:20.9,I always buy the tools,Yes,$30 - $39,Yes,3-Jan,Less often than every 7 years,Yes,No,Pliers,$30-$39,$5-$9,Ranch,3,Local ranch store,0.5,21+ years,Retired,50275,$30 ,$39 ,$30 ,$39 
43,46:37.3,I always buy the tools,Yes,$30 - $39,Yes,3-Jan,Every 5-7 years,Yes,No,"Hammer, Wire stretcher, Pliers, Steel post pounder, Crescent wrench",$30-$39,$5-$9,Ranch,9,"Local ranch store, Other online store, Harbor Freight Tools",0.2,21+ years,"Own a farm, Equipment operator, Livestock care, Rancher",81419,$30 ,$39 ,$30 ,$39 
44,47:35.6,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 3-4 years,No,No,"Hammer claw, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Ranch,5,Local ranch store,0.7,11-15 years,Own a farm,50830,$20 ,$29 ,$0 ,$9 
45,50:21.8,I always buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 3-4 years,Yes,No,"Wire snips/cutters, Pliers",$20-$29,$0-$4,Hobby farm,100,Local ranch store,0.1,16-20 years,"Own a farm, Law enforcement ",23872,$10 ,$19 ,$20 ,$29 
46,53:28.3,I sometimes buy the tools,Yes,$40 - $49,Yes,3-Jan,Every 5-7 years,Yes,No,Side cut,$10-$19,$5-$9,small family farm,5,Local ranch store,0.1,16-20 years,Own a farm,59714,$40 ,$49 ,$10 ,$19 
47,54:48.7,I always buy the tools,Yes,$30 - $39,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$30-$39,$10-$14,Commercial farm,2,"Local ranch store, Amazon, The Home Depot, Lowe's, Harbor Freight Tools",0.3,0-5 years,"Employee of a farm, ranch or orchard",75766,$30 ,$39 ,$30 ,$39 
48,57:33.2,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 2 years,Yes,Yes,"Hammer claw, Screwdriver, Wire stretcher, Steel post pounder",$20-$29,$10-$14,"Commercial farm, Ranch",1000,"Local ranch store, ACE Hardware",0.8,21+ years,"Own a farm, Rancher",37148,$20 ,$29 ,$20 ,$29 
49,00:26.0,I always buy the tools,Yes,$30 - $39,Yes,3-Jan,Every 2 years,Yes,Yes,"Hammer, Side cut, Pliers, Steel post pounder",$30-$39,$10-$14,"Commercial farm, Ranch",100,Local ranch store,0.5,16-20 years,"Employee of a farm, ranch or orchard, Livestock care, Rancher",51652,$30 ,$39 ,$30 ,$39 
50,02:20.1,I always buy the tools,Yes,$60 or more,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Wire stretcher, Pliers, Steel post pounder",$40+,$20+,Orchard,,Local ranch store,0.3,0-5 years,Retired,66402,$60 ,,$40 ,
51,04:39.2,I sometimes buy the tools,Yes,$30 - $39,Yes,3-Jan,Every 3-4 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder, Pliers",$40+,$10-$14,"Commercial farm, Ranch",65,Local ranch store,0.8,16-20 years,"Employee of a farm, ranch or orchard, Livestock care, Rancher",59520,$30 ,$39 ,$40 ,
52,04:56.0,I always buy the tools,Yes,$20 - $29,No,More than 9,Every 2 years,Yes,Yes,"Wire snips/cutters, Fencing plyers",$30-$39,$10-$14,Ranch,10,"Local ranch store, Amazon, Other online store, ACE Hardware",0.8,21+ years,"Own a farm, Retired",95965,$20 ,$29 ,$30 ,$39 
53,27:23.6,I sometimes buy the tools,Yes,$60 or more,Yes,3-Jan,Less often than every 7 years,Yes,Yes,"Hammer, Plammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$20+,Ranch,20,Local ranch store,0.9,11-15 years,"Own a farm, Livestock care, Rancher",69153,$60 ,,$20 ,$29 
54,33:09.2,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Less often than every 7 years,No,No,"Hammer, Side cut, Wire stretcher, Steel post pounder",$0-$9,$5-$9,Ranch,3,Local ranch store,0.2,11-15 years,"Own a farm, Livestock care, Rancher",,$10 ,$19 ,$0 ,$9 
55,44:30.7,I sometimes buy the tools,Yes,$20 - $29,Yes,6-Apr,Every year or more often,Yes,Yes,"Wire snips/cutters, Wire stretcher, Steel post pounder",$0-$9,$10-$14,Ranch,50,"Local ranch store, Amazon, ACE Hardware, Harbor Freight Tools",0,21+ years,"Rancher, Pharmacist ",73456,$20 ,$29 ,$0 ,$9 
56,49:11.0,I always buy the tools,Yes,$40 - $49,Yes,More than 9,Every year or more often,Yes,Yes,"Plammer, Wire stretcher, Steel post pounder",$10-$19,$20+,Ranch,,Local ranch store,0.4,21+ years,Equipment operator,81327,$40 ,$49 ,$10 ,$19 
57,58:53.3,I always buy the tools,Yes,$20 - $29,No,3-Jan,Less often than every 7 years,Yes,Yes,"Hammer, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$0-$9,$5-$9,Paddy,2,Local ranch store,1,21+ years,,45056,$20 ,$29 ,$0 ,$9 
58,04:51.5,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,Yes,"Hammer, Wire snips/cutters, Wire stretcher, Steel post pounder",$10-$19,$0-$4,Ranch,4,"Local ranch store, Amazon, ACE Hardware, The Home Depot, Lowe's, Harbor Freight Tools",0.5,21+ years,"Own a farm, Equipment operator, Livestock care, Rancher",78160,$20 ,$29 ,$10 ,$19 
61,27:03.8,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 5-7 years,No,No,"Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$0-$9,$10-$14,Ranch,50,Local ranch store,0.1,21+ years,"Own a farm, Rancher",67349,$20 ,$29 ,$0 ,$9 
62,31:21.1,I always buy the tools,Yes,$20 - $29,Yes,9-Jul,Every 5-7 years,Yes,No,"Hammer claw, Side cut, Wire stretcher, Steel post pounder",$20-$29,$0-$4,Ranch,50,Local ranch store,0.2,21+ years,"Own a farm, Manage a farm, Livestock care, Rancher",82441,$20 ,$29 ,$20 ,$29 
65,45:55.1,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,Yes,"Wire snips/cutters, Wire stretcher, Steel post pounder",$40+,$10-$14,Ranch,50,Amazon,0.2,6-10 years,Rancher,97823,$20 ,$29 ,$40 ,
66,46:59.5,I sometimes buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 3-4 years,Yes,No,"Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$0-$4,"Commercial farm, Ranch",20,"Local ranch store, Lowe's, Menard's",0.8,21+ years,"Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",80729,$10 ,$19 ,$20 ,$29 
67,48:14.6,I always buy the tools,Yes,$10 - $19,Yes,6-Apr,Every 5-7 years,No,No,"Side cut, Wire stretcher, Steel post pounder",$20-$29,$0-$4,,85,Local ranch store,0.7,21+ years,Own a farm,51448,$10 ,$19 ,$20 ,$29 
68,55:48.4,I sometimes buy the tools,Yes,$30 - $39,Yes,More than 9,Every year or more often,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$0-$9,$0-$4,Ranch,20,Local ranch store,0.6,21+ years,"Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",68874,$30 ,$39 ,$0 ,$9 
69,01:57.1,I sometimes buy the tools,Yes,$60 or more,No,More than 9,Every year or more often,Yes,Yes,"Hammer, Wire snips/cutters, Screwdriver, Wire stretcher, Pliers, Steel post pounder, Texas fence fixer",$0-$9,$10-$14,Ranch,50,Local ranch store,0.1,21+ years,"Livestock care, Rancher",57585,$60 ,,$0 ,$9 
70,04:07.9,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Wire snips/cutters, Screwdriver",$30-$39,$5-$9,Ranch,6,Amazon,0.9,6-10 years,Rancher,77905,$20 ,$29 ,$30 ,$39 
71,07:45.5,I always buy the tools,Yes,$30 - $39,Yes,More than 9,Every year or more often,Yes,Yes,"Hammer, Plammer, Side cut, Wire stretcher, Pliers, Steel post pounder, Wheat heart trailer mounted post pounder with the pilot auger and wire roller",$0-$9,$5-$9,"Commercial farm, Ranch, Custom cattle feeding",175,Local ranch store,0.5,11-15 years,"Own a farm, Livestock care, Rancher",82082,$30 ,$39 ,$0 ,$9 
72,21:16.7,I sometimes buy the tools,Yes,$30 - $39,No,6-Apr,Every 2 years,Yes,Yes,"Hammer claw, Wire snips/cutters, Side cut, Wire stretcher, Steel post pounder",$40+,$20+,Commercial farm,20,"Local ranch store, Amazon, ACE Hardware",0.9,21+ years,"Manage a farm, Employee of a farm, ranch or orchard, Rancher",97826,$30 ,$39 ,$40 ,
74,47:07.5,I always buy the tools,Yes,$30 - $39,Yes,9-Jul,Every 3-4 years,Yes,No,Wire stretcher,$20-$29,$5-$9,Ranch,25,"Local ranch store, Amazon, ACE Hardware, The Home Depot, Lowe's",0.1,21+ years,Own a farm,76645,$30 ,$39 ,$20 ,$29 
75,51:39.1,I always buy the tools,Yes,$10 - $19,Yes,More than 9,Less often than every 7 years,Yes,No,"Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$0-$9,$0-$4,Ranch,,"Local ranch store, Harbor Freight Tools",0.1,16-20 years,"Manage a farm, Employee of a farm, ranch or orchard, Equipment operator, Livestock care, Rancher",75474,$10 ,$19 ,$0 ,$9 
76,56:02.4,I always buy the tools,Yes,$20 - $29,No,3-Jan,Every year or more often,Yes,Yes,"Wire snips/cutters, Side cut, Wire stretcher, Wire twister",$0-$9,$5-$9,Ranch,,"Local ranch store, Amazon, Other online store, ACE Hardware, The Home Depot, Lowe's",0.5,21+ years,"Manage a farm, Rancher",78729,$20 ,$29 ,$0 ,$9 
79,04:45.6,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Less often than every 7 years,No,No,"Hammer, Wire stretcher, Steel post pounder",$20-$29,$5-$9,"Commercial farm, Ranch",4,"Local ranch store, Amazon, Harbor Freight Tools",1,21+ years,"Livestock care, Rancher, Retired",33540,$20 ,$29 ,$20 ,$29 
80,15:03.9,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 5-7 years,Yes,No,"Side cut, Wire stretcher, Steel post pounder",$10-$19,$10-$14,Ranch,5,Local ranch store,0.1,21+ years,Rancher,76049,$20 ,$29 ,$10 ,$19 
81,17:49.1,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every 2 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$20-$29,$10-$14,Ranch,10,"Local ranch store, Harbor Freight Tools",0.8,21+ years,Retired,78957,$20 ,$29 ,$20 ,$29 
82,30:05.2,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,No,No,Hammer,$20-$29,$0-$4,Dairy farm,2,Amazon,1,21+ years,Own a farm,4930,$20 ,$29 ,$20 ,$29 
83,58:36.5,I sometimes buy the tools,Yes,$20 - $29,No,3-Jan,Every 3-4 years,Yes,Yes,"Hammer claw, Wire stretcher, Pliers, Steel post pounder",$40+,$10-$14,Commercial farm,25,"Local ranch store, Menard's",0.1,21+ years,"Own a farm, Livestock care",68033,$20 ,$29 ,$40 ,
84,09:41.1,I always buy the tools,Yes,$10 - $19,Yes,3-Jan,Less often than every 7 years,Yes,No,"Wire stretcher, Pliers, Steel post pounder",$0-$9,$5-$9,Personal,1,"Local ranch store, Harbor Freight Tools",0.1,6-10 years,"Own a farm, Manage a farm, Livestock care",84660,$10 ,$19 ,$0 ,$9 
85,15:01.3,I sometimes buy the tools,Yes,$20 - $29,No,6-Apr,Every 5-7 years,No,No,Pliers,$10-$19,$10-$14,Ranch,,Local ranch store,0.2,21+ years,,79015,$20 ,$29 ,$10 ,$19 
87,18:23.0,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 5-7 years,Yes,No,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,"Ranch, Orchard",3,"Local ranch store, ACE Hardware, The Home Depot, Lowe's",0.3,6-10 years,"Own a farm, Rancher",84651,$20 ,$29 ,$10 ,$19 
89,23:56.0,I sometimes buy the tools,Yes,$10 - $19,Yes,3-Jan,Every year or more often,Yes,Yes,"Hammer, Hammer claw, Wire stretcher, Pliers, Steel post pounder",$30-$39,$5-$9,Ranch,3,"Local ranch store, ACE Hardware",0.3,21+ years,"Own a farm, Livestock care",75851,$10 ,$19 ,$30 ,$39 
90,29:29.6,I always buy the tools,Yes,$10 - $19,No,3-Jan,Every year or more often,Yes,Yes,Hammer,$40+,$20+,"Commercial farm, Ranch",40,"Local ranch store, Amazon, The Home Depot",0.5,6-10 years,"Employee of a farm, ranch or orchard, Equipment operator, Livestock care",93561,$10 ,$19 ,$40 ,
91,48:27.6,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every year or more often,Yes,No,"Hammer, Wire snips/cutters, Wire stretcher, Steel post pounder",$30-$39,$20+,Ranch,500,"Local ranch store, Amazon",0.6,0-5 years,Rancher,76092,$20 ,$29 ,$30 ,$39 
92,57:15.6,I sometimes buy the tools,Yes,$30 - $39,Yes,3-Jan,Every year or more often,Yes,Yes,"Hammer, Wire snips/cutters, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$0-$9,$10-$14,Commercial ranch ,350,"Local ranch store, Other online store, ACE Hardware",0.2,11-15 years,Rancher,87752,$30 ,$39 ,$0 ,$9 
93,59:35.5,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Hammer claw, Wire snips/cutters, Wire stretcher, Pliers, Steel post pounder",$30-$39,$5-$9,Ranch,10,"Local ranch store, ACE Hardware, The Home Depot",0.9,16-20 years,Rancher,82901,$20 ,$29 ,$30 ,$39 
94,03:52.7,I always buy the tools,Yes,$30 - $39,No,6-Apr,Every 3-4 years,Yes,Yes,"Hammer, Wire stretcher",$40+,$5-$9,Commercial farm,39,Local ranch store,0.8,21+ years,"Own a farm, Manage a farm, Equipment operator, Livestock care",37040,$30 ,$39 ,$40 ,
95,08:55.7,I always buy the tools,Yes,$30 - $39,No,More than 9,Every year or more often,Yes,Yes,"Hammer claw, Wire stretcher, Steel post pounder",$10-$19,$5-$9,Ranch,60,Local ranch store,0.2,21+ years,"Own a farm, Rancher",59259,$30 ,$39 ,$10 ,$19 
96,14:12.1,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Less often than every 7 years,Yes,No,"Hammer, Side cut, Wire stretcher, Steel post pounder",$0-$9,$0-$4,Ranch,6,"Local ranch store, Amazon",0.2,21+ years,"Own a farm, Livestock care",62974,$20 ,$29 ,$0 ,$9 
97,21:44.0,I always buy the tools,Yes,$30 - $39,Yes,More than 9,Every 2 years,Yes,Yes,"Plammer, Wire stretcher, Pliers, Steel post pounder",$40+,$10-$14,Ranch,15,Local ranch store,0.3,21+ years,Livestock care,83650,$30 ,$39 ,$40 ,
98,24:33.9,I always buy the tools,Yes,$20 - $29,Yes,6-Apr,Every 3-4 years,Yes,Yes,"Wire snips/cutters, Side cut, Wire stretcher, Pliers, Steel post pounder",$10-$19,$5-$9,Ranch,6,"Local ranch store, Amazon",0.2,11-15 years,Rancher,79015,$20 ,$29 ,$10 ,$19 
100,35:23.1,I sometimes buy the tools,Yes,$20 - $29,Yes,3-Jan,Every 3-4 years,Yes,No,Wire stretcher,$30-$39,$5-$9,Ranch,20,Local ranch store,0.8,16-20 years,"Own a farm, Rancher",59864,$20 ,$29 ,$30 ,$39 
102,01:21.8,I always buy the tools,Yes,$20 - $29,Yes,More than 9,Every 2 years,Yes,Yes,"Wire stretcher, Steel post pounder",$30-$39,$10-$14,Ranch,20,Local ranch store,0.2,16-20 years,"Own a farm, Rancher",59540,$20 ,$29 ,$30 ,$39 
103,05:18.7,I always buy the tools,Yes,$20 - $29,Yes,3-Jan,Less often than every 7 years,Yes,No,"Hammer, Side cut, Screwdriver, Wire stretcher, Pliers, Steel post pounder",$20-$29,$5-$9,Family farm,1,Local ranch store,0.7,11-15 years,"Manage a farm, Livestock care",41042,$20 ,$29 ,$20 ,$29 
104,20:32.5,I always buy the tools,Yes,$30 - $39,No,6-Apr,Every 2 years,Yes,No,Wire snips/cutters,$10-$19,$0-$4,Dairy farm,10,Local ranch store,1,21+ years,"Own a farm, Livestock care",21911,$30 ,$39 ,$10 ,$19 
